Review,date,Location,CompoundScore,Sentiment
impress resort great staff main resort pool bar blast clean profession staff great locat reason,2019-08-20,Sebastian,0.93,1
room nice outsid need work also free breakfast would nice overal ok,2019-08-20,Los Angeles,0.8779,1
great locat stay hotel last three trip new york,2019-08-20,Georgia,0.6249,1
great locat room larg spaciou park easi appreci friendli staff,2019-08-19,Palm Harbor,0.6249,1
clean friendli love locat restaur insid excel food servic bathroom littl small theyr vintag overal would definit stay,2019-08-19,California,0.872,1
nice quiet clean room return back area,2019-08-19,Redding,0.6705,1
room seem clean sort orang sticki glop bathroom counter travel size lotion provid alreadi empti like could text valet car wait,2019-08-18,Jacksonville,0.6369,1
en gener excelent fantástica situación do pega important para mí dolar por guardar mi maleta hora en la salida habia nevera ni calentador de agua en la habitación lo solicit ofrecieron ponerlo con cargo,2019-08-17,España,0.2023,1
le chambr familial sont pratiqu nou étion et cest agréabl dêtre tou ensembl cepend le personnel est exécrabl lindividu à laccueil sest permi de dire à mon mari quil était trop lent lor de lenregistr cest inaccept de plu la climatis est extrêmement bruyant plusieur dentr nou ont eu beaucoup de difficulté à dormir,2019-08-17,Montréal,-0.4588,0
nan,2019-08-17,"Grand Cayman, Cayman Islands",0.0,0
enjoy stay staff welcom friendli chose locat weekend friend book room request rollaway bed call front desk extra bed request explain sinc two bed could accommod us rollaway give option book avail stay overal nice experi,2019-08-16,La quinta,0.8481,1
well kept complimentari breakfast,2019-08-15,Seattle,0.2732,1
propreté impecc chambr refait tou le jour,2019-08-15,savasse France,0.0,0
sent parent anniversari trip want stay local want get away heat riversid stay two day said properti seclud clean felt safe area hotel clean comfort nice view staff friendli found reserv issu downsid pay per day park park privat didnt worri car broken plu extra cost didnt expect great locat site see,2019-08-15,Riverside,0.9013,1
beauti clean friendli staff varieti activ adult children would definit choos stay,2019-08-14,"Champaign, IL",0.4019,1
properti advertis renov four floor renov renov mean basic new bed stain ceil leak shower toilet didnt work peel paint unpleas manag ask chang room seem think nonwork toilet wasnt issu would recommend ever stay properti disappoint,2019-08-14,Pennsylvania,-0.7359,0
